Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
176000,0000017C,false,Rx,0,8,00,00,05,62,48,00,00,38,
179000,00000156,false,Rx,0,6,00,02,00,01,07,02,00,00,
180000,00000097,false,Rx,0,8,80,60,20,01,FF,00,00,18,
0,00000158,false,Rx,0,8,11,E7,05,1A,11,E7,BD,31,
0,00000188,false,Rx,0,6,04,04,80,08,00,69,00,00,
0,00000039,false,Rx,0,2,00,2A,00,00,00,00,00,00,
0,0000018E,false,Rx,0,3,00,05,39,00,00,00,00,00,
185000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,09,
186000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,0A,
186000,0000013F,false,Rx,0,8,02,2F,02,31,00,00,00,0C,
186000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,08,
186000,0000017C,false,Rx,0,8,00,00,05,62,48,00,00,0B,
186000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,0B,
0,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,01,
0,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,0F,00,
187000,000001D0,false,Rx,0,8,24,72,48,EC,91,69,22,80,
0,000001DC,false,Rx,0,4,02,05,62,2D,00,00,00,00,
0,000001E7,false,Rx,0,4,1A,00,68,09,00,00,00,00,
189000,00000156,false,Rx,0,6,00,01,00,01,07,12,00,00,
189000,000001C0,false,Rx,0,7,00,00,10,00,00,00,19,00,
189000,000001A6,false,Rx,0,8,02,00,00,4C,5F,80,00,18,
189000,00000294,false,Rx,0,8,00,15,00,03,FA,C4,20,32,
190000,00000097,false,Rx,0,8,80,60,20,01,FF,00,00,27,
190000,00000305,false,Rx,0,2,0E,02,00,00,00,00,00,00,
0,00000158,false,Rx,0,8,11,E7,05,1A,11,E7,BD,04,
0,00000188,false,Rx,0,6,04,04,80,08,00,78,00,00,
195000,0000018E,false,Rx,0,3,00,00,01,00,00,00,00,00,
195000,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,18,
195000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,19,
195000,0000013F,false,Rx,0,8,02,2E,02,30,00,28,00,13,
195000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,17,
195000,00000039,false,Rx,0,2,00,39,00,00,00,00,00,00,
196000,0000017C,false,Rx,0,8,00,00,05,66,48,00,00,16,
198000,00000156,false,Rx,0,6,00,02,00,02,07,2F,00,00,
199000,00000097,false,Rx,0,8,80,60,20,01,FF,00,00,36,
0,00000158,false,Rx,0,8,11,E7,05,18,11,E7,BD,15,
0,00000188,false,Rx,0,6,04,04,80,08,00,4B,00,00,
0,0000018E,false,Rx,0,3,00,00,10,00,00,00,00,00,
0,00000136,false,Rx,0,8,00,00,00,18,0C,00,00,27,
205000,0000013A,false,Rx,0,8,00,00,00,00,00,00,00,28,
206000,0000013F,false,Rx,0,8,02,2E,02,30,00,00,00,2C,
206000,0000015A,false,Rx,0,8,00,00,00,00,00,00,00,26,
206000,0000017C,false,Rx,0,8,00,00,05,66,48,00,00,25,
206000,000001A4,false,Rx,0,8,00,68,00,00,00,00,00,1A,
207000,000001AA,false,Rx,0,8,7F,FF,00,00,00,00,68,10,
207000,000001B0,false,Rx,0,7,80,10,7F,FF,00,00,1E,00,
207000,00000039,false,Rx,0,2,00,0C,00,00,00,00,00,00,
207000,000001D0,false,Rx,0,8,24,7C,48,C4,91,E1,24,42,
207000,000001DC,false,Rx,0,4,02,05,66,38,00,00,00,00,
207000,000001E7,false,Rx,0,4,1A,00,68,18,00,00,00,00,
208000,0000033D,false,Rx,0,4,01,40,00,1F,00,00,00,00,
209000,00000156,false,Rx,0,6,00,01,00,02,07,3F,00,00,
209000,000001C0,false,Rx,0,7,00,00,10,00,00,00,28,00,
209000,000001A6,false,Rx,0,8,02,00,00,4C,62,80,00,23,
